max_depth,estimators,samples,rmse_train,rmse_test,std_train,std_test,rmse_ratio,train_rmse_std_ratio,test_rmse_std_ratio,train_score,test_score,test_size,1st_feature,2nd_feature,3rd_feature,4th_feature,5th_feature,is_nan_mean
6,10,10000,14451.416280796186,14849.415904524596,23212.950284525556,22519.28570017366,0.9731976243181969,0.6225583609003776,0.6594088330434958,0.6123780181639422,0.564744735639855,0.1,Enclosure_code,fiModelDesc_code,YearMade,fiProductClassDesc_code,ModelID,True
6,10,10000,14812.342303081201,14932.685529149758,23438.812862132938,22843.37429268655,0.9919409522263335,0.631957872192904,0.6536987634935594,0.6005822574507644,0.5723928551771097,0.15,Enclosure_code,YearMade,fiProductClassDesc_code,Hydraulics_Flow_code,ProductSize_code,True
6,10,10000,14623.906704927906,15243.361409030087,23074.999282715846,23438.13506661508,0.9593623291162525,0.6337554565335061,0.6503657976927737,0.5983038092901686,0.5768127355592216,0.2,Enclosure_code,YearMade,Hydraulics_Flow_code,fiProductClassDesc_code,ProductSize_code,True
6,10,10000,14304.140405335398,14453.460456383358,23221.897887522224,22765.294219408686,0.9896689065225198,0.6159763717254744,0.6348901234081559,0.6205225124775839,0.5967532324917733,0.25,Enclosure_code,YearMade,fiProductClassDesc_code,ModelID,fiModelDesc_code,True
6,10,10000,14673.499669508949,14951.665282687007,23069.030755712316,22733.635692766722,0.981395676807977,0.6360691883804229,0.65768913889318,0.5953581816190154,0.5673007635031151,0.3,Enclosure_code,YearMade,fiProductClassDesc_code,ModelID,Hydraulics_Flow_code,True
6,10,20000,14779.687688524871,14943.6484178229,23101.197116427134,22760.350681405267,0.9890280656561434,0.6397801643801012,0.6565649460766679,0.5906586000768861,0.5687068249958402,0.1,Enclosure_code,YearMade,fiProductClassDesc_code,fiModelDesc_code,ModelID,True
6,10,20000,15005.884229573165,15197.628565448093,23119.194925726355,22759.310537327743,0.9873832726567051,0.6490660370216897,0.6677543478534786,0.578688496555344,0.5539554494059107,0.15,Enclosure_code,YearMade,fiProductClassDesc_code,fiModelDesc_code,Hydraulics_Flow_code,True
6,10,20000,14617.99423432908,15610.823442760471,23126.74151750343,23799.39046821451,0.9364012275155277,0.6320818790345142,0.655933750219765,0.6004475261665831,0.5696433261541736,0.2,Enclosure_code,YearMade,fiProductClassDesc_code,fiModelDesc_code,ModelID,True
6,10,20000,14614.494364965874,14495.984856605783,22862.417501335553,23005.385144567892,1.0081753333445356,0.6392366145930167,0.6301126786407496,0.591349307184138,0.6028785879337661,0.25,Enclosure_code,YearMade,fiProductClassDesc_code,fiModelDesc_code,ModelID,True
6,10,20000,14814.576761432065,15389.56422260526,22814.68988129225,23089.741789280895,0.9626378334788315,0.6493437709876488,0.6665108844893909,0.5783225472614871,0.5556891890553459,0.3,Enclosure_code,YearMade,fiProductClassDesc_code,ModelID,Hydraulics_Flow_code,True
6,10,50000,15071.306872725534,15005.38479073324,23139.45498859684,22795.634987599547,1.0043932283584627,0.6513250584403435,0.6582569337899964,0.5757662408308127,0.566611131343661,0.1,Enclosure_code,YearMade,fiProductClassDesc_code,fiModelDesc_code,ModelID,True
6,10,50000,14980.332836088306,15266.181662740339,22981.880479089286,23165.045797196122,0.9812756828808284,0.6518323359012587,0.6590179789149454,0.5751046083348813,0.5656373884519875,0.15,Enclosure_code,YearMade,fiModelDesc_code,fiProductClassDesc_code,ModelID,True
6,10,50000,14637.398557996152,15185.053615308461,22684.664542393104,23237.768762132655,0.9639345983763795,0.6452552353437618,0.6534643567007785,0.5836352721432702,0.572941628684506,0.2,Enclosure_code,YearMade,fiProductClassDesc_code,fiModelDesc_code,ModelID,True
6,10,50000,14951.878792456824,14975.079315172987,22946.71827421147,22977.499010119547,0.9984507245519123,0.6515911606088092,0.6517279930499744,0.5754176372201243,0.5752166404062848,0.25,Enclosure_code,YearMade,fiProductClassDesc_code,fiModelDesc_code,Hydraulics_Flow_code,True
6,10,50000,15053.263929832085,15051.139482549677,23167.76307026191,22852.997268714607,1.0001411486010658,0.6497504262357733,0.6586068035440782,0.5778123211013195,0.5662081588693766,0.3,Enclosure_code,YearMade,fiProductClassDesc_code,fiModelDesc_code,ModelID,True
6,10,100000,15477.359309917263,15647.237913236935,22957.933623261757,23447.16645277136,0.9891432210424843,0.6741616891092967,0.6673402496098839,0.545500966948044,0.5546124524958673,0.1,Enclosure_code,YearMade,Hydraulics_Flow_code,fiProductClassDesc_code,ModelID,True
6,10,100000,15133.742820914162,15171.868579402231,22915.358473937227,22868.7082178643,0.9974870756170515,0.6604192047934365,0.6634335632281344,0.5638413426616833,0.5598265622865735,0.15,Enclosure_code,YearMade,fiProductClassDesc_code,ModelID,Hydraulics_Flow_code,True
6,10,100000,15159.514673134363,14913.743397841123,23028.692909129953,22746.03613247839,1.0164795161574804,0.6582881074906437,0.6556634004703012,0.5666513506782702,0.5700840094841955,0.2,Enclosure_code,YearMade,fiProductClassDesc_code,Hydraulics_Flow_code,fiModelDesc_code,True
6,10,100000,15356.496145151501,15547.88866983428,23140.452686043733,23212.635319524015,0.9876901276599623,0.6636212503488826,0.66980282315283,0.5596009640982403,0.5513462319457767,0.25,Enclosure_code,YearMade,fiProductClassDesc_code,ModelID,Hydraulics_Flow_code,True
6,10,100000,15090.832549567507,15202.795372751698,22977.196547170028,23055.13227954262,0.9926353791892204,0.6567743161611315,0.659410459606927,0.5686413353644405,0.5651633512060217,0.3,Enclosure_code,YearMade,fiProductClassDesc_code,ModelID,fiModelDesc_code,True
6,10,200000,15167.701425652747,15094.252481193485,23086.67561988696,22889.72981520345,1.004866020662552,0.6569894113549734,0.6594334054204442,0.56836251538142,0.5651258401076014,0.1,Enclosure_code,YearMade,fiProductClassDesc_code,ModelID,fiModelDesc_code,True
6,10,200000,15343.409389615555,15305.825771015763,23072.22903848171,22865.94683155934,1.002455510676919,0.6650163434154797,0.6693720528506969,0.5577506615236079,0.5519261190664129,0.15,Enclosure_code,YearMade,fiProductClassDesc_code,Hydraulics_Flow_code,ModelID,True
6,10,200000,15145.450455360657,15118.33220340239,23070.96164721692,22903.70689282273,1.0017937330383682,0.656472438685176,0.6600823296485678,0.5690412437545113,0.5642804250963467,0.2,Enclosure_code,YearMade,fiProductClassDesc_code,fiModelDesc_code,ModelID,True
6,10,200000,15235.026173621889,15364.525970104984,23077.206224350753,23099.56660862239,0.9915715072020403,0.6601763673432054,0.6651434734870678,0.5641642584299187,0.557575311183782,0.25,Enclosure_code,YearMade,fiModelDesc_code,fiProductClassDesc_code,Hydraulics_Flow_code,True
6,10,200000,15171.653810211605,15194.61348505716,22969.450157685944,23114.145204932418,0.9984889595995229,0.6605144531565954,0.6573729355050829,0.5637175408679643,0.5678536212257839,0.3,Enclosure_code,YearMade,fiProductClassDesc_code,fiModelDesc_code,ModelID,True
6,20,10000,14295.523829330554,15649.632421469156,23385.36962198421,23530.705277112676,0.9134734570327064,0.6113020260279128,0.6650728160150343,0.626268307230528,0.5572353847826148,0.1,Enclosure_code,YearMade,fiModelDesc_code,fiProductClassDesc_code,ModelID,True
6,20,10000,14069.011379084106,15327.941976008962,22897.293041979196,23492.94189610272,0.9178669518128844,0.6144399407078562,0.652448809680653,0.6224191379850419,0.5740265684586048,0.15,Enclosure_code,YearMade,fiProductClassDesc_code,ModelID,fiModelDesc_code,True
6,20,10000,14182.072230159592,15123.255033047391,23341.38292852141,23638.96254160947,0.9377658578903072,0.6075934863666612,0.6397596766959349,0.6307840033252214,0.5905028074776516,0.2,Enclosure_code,YearMade,fiProductClassDesc_code,fiModelDesc_code,ModelID,True
6,20,10000,14540.41109356476,15094.037268046726,23503.883417551497,23511.49093538736,0.9633215312344588,0.6186386664387011,0.6419855427087592,0.6172351650756221,0.5876896388084633,0.25,Enclosure_code,YearMade,fiModelDesc_code,fiProductClassDesc_code,ModelID,True
6,20,10000,14115.340520956352,14060.56520409873,23394.748687881507,21678.453311183654,1.0038956696308092,0.6033550823423937,0.6485963275269759,0.6359106318447241,0.5791825314289962,0.3,Enclosure_code,YearMade,fiModelDesc_code,fiProductClassDesc_code,ModelID,True
6,20,20000,14384.726515874772,14098.6078219556,22698.44894399238,22476.85872809488,1.0202941097115705,0.6337316946796047,0.6272499192395193,0.5983618259266235,0.6063607191736031,0.1,Enclosure_code,YearMade,fiProductClassDesc_code,fiModelDesc_code,ModelID,True
6,20,20000,14656.391954208168,15179.425599233344,22974.91332423876,23573.371486192515,0.9655432518440228,0.6379302392730043,0.6439225550797558,0.5930210698840219,0.5852254848878549,0.15,Enclosure_code,YearMade,fiProductClassDesc_code,fiModelDesc_code,ModelID,True
6,20,20000,14742.14812286746,15072.685673610406,23093.202808824866,23256.14340930484,0.9780704276662746,0.6383760730336581,0.6481163023607683,0.5924505175354717,0.5798402186688723,0.2,Enclosure_code,YearMade,fiProductClassDesc_code,ModelID,Hydraulics_Flow_code,True
6,20,20000,14758.356406687144,15237.369632488717,22776.48745265454,23170.338666764987,0.9685632601062434,0.647964548412714,0.6576239498106627,0.5801139515970808,0.567444229481319,0.25,Enclosure_code,YearMade,fiProductClassDesc_code,Hydraulics_Flow_code,fiModelDesc_code,True
